user_id,식료품,의류,가전제품,스포츠용품,교통,미용,의료,여행,문화,음식점,주류,통신,가정용품,도서,유류비,반려동물,유아용품,교육,현재 소득,현재 지출,저축,금융 자산,부채 금액,재무적 안정성,대출 상환능력,신용 점수,투자 수익률,부동산 보유량
38,2875,2743,151,458,30,217,1779,530,422,1909,1337,62,349,77,920,157,42,2323,29963,69140,6371,35013,1808,6,45,343,41,9
39,1347,2121,1731,265,450,476,1078,423,93,2170,1406,94,23,199,1727,189,149,3787,33782,66575,20942,63699,11915,8,59,445,-26,6
40,4106,152,6859,342,69,108,2298,744,230,436,1238,29,301,149,2700,100,75,4797,20307,18187,1621,86913,41952,9,26,692,-6,2
41,4470,1873,2657,162,261,108,2006,472,246,134,41,96,42,165,1310,51,10,3976,23241,11739,8570,50761,6615,10,79,562,35,10
42,688,333,6064,185,929,141,1312,834,39,2081,175,55,322,142,1443,24,38,1297,47839,46624,27432,28221,22238,10,71,667,7,4
43,1320,1237,6070,313,136,479,2287,580,276,627,1788,25,449,65,2445,86,78,424,45268,54699,22339,62346,12563,1,14,427,-48,9
44,3050,2482,244,500,135,433,230,143,68,1143,279,12,401,149,570,22,123,4718,56870,66865,20639,88583,11118,10,31,491,-27,3
45,104,2030,6729,123,86,454,1499,658,425,1008,1070,6,489,9,736,15,139,3113,57243,69192,19742,53250,8708,9,42,669,22,6
46,3307,2039,417,239,586,154,2264,8,283,2003,1420,85,138,145,686,95,169,2120,44659,18940,7915,19531,10843,8,55,424,10,0
47,27,2845,3962,217,676,381,2933,161,329,1288,2066,7,318,179,779,179,112,2726,54439,38350,10655,45187,30913,7,48,767,7,5
48,2318,1467,5242,180,94,472,154,106,148,2727,1962,1,365,126,1958,9,82,2035,37126,19814,28391,57313,46370,6,66,572,36,6
49,4110,2379,8408,351,834,344,1171,466,485,833,2632,71,585,152,2463,124,181,2281,22371,56567,17798,82669,32521,7,71,578,50,3
50,2276,1300,1066,472,855,204,1980,791,425,714,1245,95,445,32,2653,4,36,1538,59304,67170,10970,90916,18713,1,54,845,-12,6
51,3229,1861,7008,142,575,363,2499,363,87,34,245,26,529,78,1740,39,100,4733,55447,35018,7916,74543,43872,9,37,458,3,3
52,1104,438,6573,76,974,209,2005,592,131,2706,114,14,184,100,733,86,141,2667,47612,38380,4915,74063,28410,10,65,384,-43,1
53,4562,2424,6431,241,473,116,1281,201,104,1357,2109,6,359,35,5,59,22,3561,42319,57746,5195,98948,18045,7,79,500,-15,9
54,2364,470,4357,258,36,30,2726,23,151,10,2394,67,200,188,2523,40,104,2290,59251,33469,1212,1486,47486,9,47,755,11,0
55,1863,1251,6698,236,348,226,697,425,479,2274,760,90,118,117,263,86,162,2874,40359,10657,12670,71876,3262,10,92,652,9,5
56,1389,2469,6385,39,84,475,1953,672,499,62,511,57,424,140,2333,115,197,1657,44499,45711,28328,75543,26517,0,3,619,-26,9
57,2807,52,4665,105,404,116,817,656,56,2421,1378,72,532,86,1771,36,20,114,31744,68628,11867,54656,10561,7,41,781,-7,6
58,4985,1599,4230,34,267,158,718,728,319,1081,975,85,404,104,1543,88,193,264,20376,17196,18033,75795,15230,10,30,428,-24,3
59,1933,570,5636,490,838,46,203,342,343,2672,2712,3,551,28,888,126,183,3609,25053,32697,2623,76618,46127,5,38,544,43,8
60,178,1448,4378,34,8,105,1213,665,400,2183,832,28,235,81,2134,26,145,740,34844,28639,22216,95664,38298,8,3,564,-24,3
61,512,2352,4389,198,557,45,974,802,185,136,2555,1,87,75,923,11,154,488,54080,61159,28283,90522,4567,3,76,680,23,10
62,2272,1137,8552,186,524,380,1542,573,411,291,458,41,293,42,1270,3,119,4057,30646,51211,21349,14800,19884,6,13,470,28,4
63,2179,2003,4435,146,163,191,782,522,63,997,1780,25,295,144,1279,96,184,3114,36959,63326,29624,45200,24273,4,48,427,-23,9
64,1852,91,7604,236,147,446,375,361,404,435,2621,75,23,47,788,175,18,627,26389,38452,8617,29956,834,4,45,619,8,9
65,712,2047,186,43,622,403,1018,625,258,2283,638,30,245,63,1095,182,125,4532,48669,58906,28648,82418,17073,3,2,770,-27,10
66,1912,1079,7119,414,869,104,1908,101,315,869,2497,26,130,31,1711,189,194,4367,39573,15737,26312,61727,12718,2,52,731,20,3
67,161,1681,3852,28,42,94,1104,695,248,1954,2916,32,292,28,39,84,130,3894,27243,20871,7275,36800,30948,4,92,460,-21,10
68,504,475,8097,48,245,305,551,569,415,275,947,96,217,75,281,126,190,3006,42934,69765,12702,44000,22781,10,1,626,-4,4
69,1418,2127,1169,488,186,119,2275,50,159,1286,2258,67,445,197,1426,112,171,1436,39060,67259,19752,61450,31095,3,82,620,36,1
70,402,1884,5261,386,763,153,2497,774,68,932,666,47,293,23,72,43,104,3763,29656,19300,1267,25824,34339,5,26,369,-46,4
71,2038,2164,5512,143,93,327,584,625,154,704,610,29,116,109,1680,54,110,2558,24295,53801,12762,44455,40863,10,81,663,-28,4
72,3035,814,2402,480,259,419,2707,50,402,209,2365,90,553,9,2001,16,15,71,31025,46672,17552,22785,31326,3,80,470,4,9
73,3172,1783,4042,497,707,182,1471,591,105,2518,2336,31,262,191,421,65,111,1814,55778,39343,20336,72206,38366,8,24,704,33,0
74,3214,1510,4900,466,790,165,1993,218,375,941,2198,48,170,88,724,108,18,1726,52594,25949,2834,53014,40583,8,53,600,-36,4
75,1966,1513,5795,307,603,486,2488,137,241,1842,2848,79,514,130,552,105,29,3897,49372,15772,19491,97680,15497,10,79,526,46,1
76,2013,1848,7300,313,957,258,1562,851,187,843,1964,52,504,149,2387,61,80,4640,39536,45183,4213,30533,45093,4,98,571,9,4
77,475,1712,5018,120,128,441,2764,635,346,2716,636,58,140,157,2431,122,122,438,38706,63601,26950,27290,49275,6,73,740,-15,4
78,1801,368,3221,208,32,458,9,380,354,2815,2851,42,449,182,1920,172,66,17,52344,51902,10803,77998,13088,1,27,417,47,3
79,250,14,107,498,231,404,79,99,368,2697,2130,9,13,122,2516,1,40,2948,28848,32414,3949,70453,26103,4,78,360,33,10
80,4234,581,7986,28,383,498,1723,768,453,2412,1716,71,372,19,1043,127,143,1277,36291,44449,9228,67301,11950,10,72,718,20,10
81,2686,2394,813,269,37,1,1646,298,326,2227,2134,6,443,14,2740,154,73,4363,34392,69207,11915,19595,9619,0,60,780,28,2
82,4739,980,9004,379,602,407,1779,903,165,1624,1477,99,314,98,2668,34,92,4495,54103,64650,4090,48032,43062,6,74,349,49,6
83,4587,2877,2294,263,439,315,2995,829,220,2388,2289,2,169,191,1091,69,138,3709,46466,64861,4734,148,8674,8,88,601,32,0
84,2310,1093,1265,383,513,408,2250,937,276,1145,2370,97,451,156,240,77,189,4700,32966,60955,4578,77431,49411,8,65,425,-15,7
85,4678,1394,4445,158,698,357,1498,308,420,172,558,13,565,52,1896,99,140,2092,56237,10892,16029,90819,21065,2,49,326,-32,4
86,4611,1939,2821,355,831,67,907,656,270,2824,2382,38,28,22,1786,101,63,4883,28195,54086,24293,6827,3834,2,38,588,34,4
87,1424,302,91,73,10,405,2639,73,299,751,959,86,284,81,351,72,189,2821,49548,22862,25436,4845,39281,0,61,363,16,9
88,1740,2315,8281,346,364,10,1979,804,428,2566,974,14,126,123,2696,62,83,2613,21488,65539,25755,90515,6961,4,42,440,5,7
89,2975,2133,5082,43,717,232,429,868,339,1033,2106,46,446,47,2300,182,126,2629,29295,52076,9042,1222,16035,1,2,729,-11,1
90,2864,2002,8359,150,662,185,148,947,167,712,761,69,414,116,1301,63,47,2372,56144,30301,16615,76244,35162,9,62,818,39,7
91,4638,693,2537,338,438,81,2069,348,95,1519,2648,38,546,53,195,15,65,577,32411,46722,3613,61954,24433,7,42,708,-2,9
92,4550,101,5310,400,882,443,2705,776,131,1607,1820,88,74,181,1290,42,120,4510,44613,33839,29858,21250,5497,2,0,401,26,0
93,267,1566,10000,201,751,314,365,956,216,508,609,7,4,182,289,159,1,24,22213,33927,18838,44164,41618,8,57,823,-23,1
94,3577,265,952,351,509,31,593,753,60,956,690,38,14,92,1171,188,168,1651,44471,51455,7617,49253,19601,4,45,373,-47,8
95,2127,507,9748,250,725,439,730,917,149,831,364,33,389,186,1017,177,108,3464,42405,43477,22823,79789,25085,3,99,453,26,1
96,549,2298,4090,413,727,262,739,397,264,904,1927,80,70,18,898,48,21,4453,50441,46913,21747,11779,22892,4,93,798,-37,8
97,1060,459,362,134,297,412,1142,672,178,544,1618,26,434,18,2160,1,5,449,39737,17272,26745,19500,25691,0,12,677,45,5
98,3533,2149,9639,199,955,64,217,908,230,186,2493,24,379,166,293,79,193,807,45441,64213,18758,70433,31482,3,51,523,37,2
99,2966,924,3581,390,552,134,1087,227,370,2214,198,70,590,65,1866,66,63,3781,57363,35574,16049,80785,43999,1,31,816,-18,10
100,3891,127,6499,67,266,100,2731,258,416,1083,1041,73,42,80,935,112,70,2876,45722,65391,19285,96379,15346,1,35,460,-15,3
101,4189,1577,3784,44,509,70,2381,706,320,718,754,16,38,170,1520,13,82,3244,51111,45146,280,21965,31286,8,100,436,16,9
102,282,1762,7644,200,955,321,1704,921,109,1260,564,53,230,118,531,192,194,3400,48956,47151,14803,9958,27143,1,88,709,13,5
103,859,1320,6089,405,563,119,1752,241,264,1523,487,46,4,38,1535,192,92,1228,31083,12866,29293,50940,11119,0,31,779,-45,7
104,714,661,906,373,856,443,2369,893,442,664,1519,95,334,182,2047,91,65,27,50127,14570,20064,86484,44164,5,70,754,-34,3
105,158,786,9768,106,602,360,890,602,272,1661,1458,14,102,16,313,54,178,767,47381,49497,24784,59369,9740,1,29,303,-34,0
106,3222,447,3521,415,107,6,115,993,41,274,1255,43,353,76,2814,22,57,4433,58458,67378,20871,19888,21233,2,71,721,-11,5
107,1033,2693,633,492,629,168,91,91,136,1892,1607,66,243,138,1565,23,18,984,20476,57672,27419,94656,49998,1,49,519,-14,5
108,3350,1305,5208,213,489,409,89,585,341,363,1582,22,256,12,1929,72,112,49,35906,19916,15107,76983,9166,0,34,636,-3,3
109,2657,555,7920,263,937,127,728,206,146,1278,2804,37,233,68,1512,23,18,3709,20442,43578,480,99628,38533,10,67,501,-10,3
110,4602,100,6530,245,655,233,2263,694,334,823,2911,29,212,180,1950,18,75,81,39071,41923,7840,9871,41722,7,15,314,12,0
111,750,1514,7233,395,396,148,1881,233,6,2872,2297,36,470,27,591,2,161,901,28611,31988,29549,77042,32612,8,78,390,43,3
112,2008,1951,8343,153,17,286,2116,704,293,2502,84,32,400,132,2974,116,7,3573,41419,63669,11660,78983,20421,6,10,302,29,8
113,3741,743,3583,279,575,185,812,795,263,2081,1230,94,264,106,1293,20,159,1147,27760,55921,14881,71658,42870,1,91,341,24,2
114,4294,250,8775,139,588,308,1460,179,40,716,2672,12,522,198,1472,43,85,4113,39075,63999,14431,14582,7309,9,14,353,-1,6
115,1087,2427,8289,416,520,40,1960,326,46,2556,1782,74,312,185,1989,54,14,1195,30925,44472,592,21997,18179,6,97,463,9,3
116,2361,2304,5061,114,61,149,605,72,363,2308,99,98,532,38,2181,153,155,4037,31454,43965,4528,12835,28342,10,60,704,7,3
117,4135,1737,9637,286,925,110,2478,856,468,2612,2745,37,142,197,1796,126,50,1729,31332,61924,10242,38613,17143,3,27,423,10,8
118,4400,2332,5947,150,490,261,1381,654,63,1868,1331,5,75,176,1975,40,150,4356,46457,55057,12964,8504,28586,5,12,546,9,6
119,2104,2646,566,23,743,484,1092,148,351,464,2660,7,436,20,1117,184,157,4024,25311,51078,20812,61995,5956,2,8,514,30,7
120,4683,2701,9371,171,912,486,1066,766,206,167,1010,63,108,21,234,100,64,2844,41668,23689,1952,75498,8906,7,36,483,6,4
121,772,611,4924,466,208,467,2925,770,297,1990,2401,4,592,187,398,123,73,3027,35356,33519,10403,21215,14944,9,4,421,-7,8
122,4620,2943,9169,237,298,51,1225,222,22,847,2660,16,592,197,768,4,47,928,48107,34597,21876,39149,19312,3,20,674,-29,1
123,4522,706,635,451,211,78,712,393,404,149,764,66,583,6,451,108,194,4440,57111,39066,23095,11648,38891,8,17,650,-37,7
124,3517,1137,5705,263,231,207,955,680,361,2951,171,86,413,73,2415,171,191,4475,27564,17540,29590,36503,43962,3,39,381,42,1
125,3861,2856,9707,205,107,18,1021,282,341,430,2299,59,441,17,2941,180,100,1713,59021,23919,20436,59729,8383,6,60,783,-28,7
126,2841,1713,9336,90,517,171,2494,881,217,420,2933,9,555,99,2819,67,187,2789,28319,37562,4960,80128,6255,4,100,513,37,4
127,490,1233,4395,464,327,141,2347,651,365,2461,2126,12,458,27,1825,172,4,80,29832,26652,14385,40198,35675,1,43,812,-14,5
128,3043,2171,2883,204,547,406,2748,479,194,1104,2260,63,409,26,272,175,163,421,37394,65185,27479,97690,16447,5,91,404,-19,1
129,1287,1626,3023,357,641,406,449,787,1,393,1818,67,472,194,2242,10,23,282,53878,10829,28443,81600,10516,1,29,470,31,4
130,769,363,6772,290,367,13,1219,137,175,268,719,68,451,6,1810,130,182,4177,58296,36453,7128,34197,276,5,52,411,-28,4
131,2702,2210,7266,366,56,344,2222,827,312,2131,438,29,485,86,1925,180,19,573,46509,69580,17624,87409,46847,1,38,844,-36,2
132,3242,2264,3680,145,717,390,183,892,308,1281,2223,47,428,40,2737,20,30,4703,55172,47143,29931,51588,11736,1,4,632,24,10
133,2720,1049,9456,249,290,293,2439,962,459,932,523,81,346,135,1263,173,174,4478,28576,10246,19791,3679,25259,8,58,838,-49,0
134,4017,797,7108,274,154,109,1460,862,242,2684,1281,29,504,47,2372,176,171,2707,38928,21486,26048,77658,27659,2,53,306,20,6
135,541,897,3056,311,600,115,233,185,463,339,712,74,548,169,1356,135,90,3169,29902,65088,18745,41182,19024,10,58,813,30,9
136,4954,1736,8690,322,472,267,102,693,103,2165,1271,25,76,4,1442,53,174,1145,28885,33754,7344,54098,18644,4,33,785,-15,1
137,2146,2997,3440,75,595,13,1516,920,163,1120,2607,91,507,151,2869,75,115,3294,27870,64751,16505,47161,24696,9,71,604,4,8
138,3869,449,7128,16,106,314,2700,257,295,2643,122,35,519,104,1107,107,193,1041,26952,43922,18322,83021,2683,3,97,448,-2,5
139,4267,697,2617,353,982,369,1885,102,170,2220,385,53,300,3,2063,64,124,1993,37553,43398,5163,41247,40827,3,20,377,-28,10
140,3823,912,4875,18,612,245,979,655,199,737,2589,5,595,12,1371,175,26,956,39013,32036,13374,9266,40993,2,78,316,-39,5
141,4743,1654,3656,126,342,339,865,344,229,732,807,69,153,161,1696,186,31,3737,20227,54250,14823,66148,12756,0,72,343,43,5
142,2521,2633,5322,438,636,88,2300,270,49,921,710,92,314,177,993,44,61,2331,40777,58583,2574,99211,25021,5,50,816,-34,6
143,657,122,2296,27,827,262,1313,912,343,2291,212,74,210,129,309,39,163,1379,26150,17337,5905,1320,21074,0,39,434,33,7
144,2820,2565,2193,366,558,309,667,425,4,806,1981,14,544,89,645,71,105,3137,22002,15480,4808,97213,35639,4,39,384,16,6
145,53,1045,6533,251,692,154,2385,843,195,841,146,10,390,160,1130,160,175,4956,45510,54004,12345,24167,28162,4,93,753,50,7
146,2723,314,8504,145,112,103,1238,946,51,2354,866,89,551,26,2873,100,105,4190,26842,37636,15552,76653,1764,3,100,846,-46,7
147,3199,2007,9663,279,718,323,2460,657,186,846,1717,12,34,33,2442,127,9,2237,38807,54443,10661,7915,45060,7,12,515,16,4
148,729,2016,4407,265,76,287,524,537,486,39,1942,87,136,82,1466,178,88,3309,53343,11243,5421,74152,47444,3,49,847,26,3
149,572,2350,9604,46,626,303,1080,291,239,1030,34,100,138,171,2896,18,11,4631,29359,44967,12767,34619,5480,10,28,828,42,1
150,4548,2852,7435,190,675,181,2402,435,60,1627,2081,22,277,26,1690,85,153,84,25502,23122,22942,26797,34116,9,7,406,32,7
151,1342,2259,2418,251,943,493,548,481,409,2159,575,42,485,125,2065,168,48,14,52274,16953,20092,5195,47055,7,46,518,-27,2
152,797,2293,6770,187,833,18,1800,459,56,172,54,86,476,109,2606,51,163,3826,31372,19132,22958,73666,3786,0,37,326,26,5
153,1141,2155,654,211,204,37,2886,453,64,133,1826,78,402,141,2861,30,142,2515,36804,25177,2663,74990,20918,2,74,839,10,9
154,2347,1695,674,152,827,96,1695,381,128,2335,2017,1,388,153,1695,46,2,785,28607,37579,17285,63127,45609,2,89,620,37,8
155,4619,2550,7405,214,114,413,2496,589,329,2357,2392,71,456,74,2925,156,164,31,46172,57896,9474,9595,33032,1,82,461,45,6
156,4814,1170,8699,31,649,62,93,613,81,1327,2926,45,546,178,36,177,42,2680,34852,17902,17695,75400,11862,0,71,717,12,10
157,154,861,9736,135,720,16,2952,473,464,1144,1525,6,12,37,1030,149,4,2886,46773,51685,20831,25022,43764,7,56,525,-15,5
158,144,2332,8468,54,355,426,777,266,66,1267,2834,26,461,22,2433,147,2,3045,27594,23183,6228,83222,1025,3,10,496,-40,0
159,3997,2529,5010,326,799,291,571,352,79,2731,2735,72,81,129,2583,80,50,674,24713,49637,17141,87001,4251,1,33,779,38,4
160,2491,1081,5985,115,69,325,745,709,424,2522,2961,78,137,159,2484,35,181,3968,56795,47937,24274,17694,5226,0,25,845,18,9
161,2490,267,3468,194,392,409,1644,105,480,427,507,70,453,185,2823,192,174,3737,29994,42453,3690,35618,43035,4,48,753,-1,8
162,3248,2915,3454,411,715,440,1308,466,53,772,2503,20,17,128,251,42,192,981,57153,44161,7072,24195,6325,5,58,484,-35,8
163,2749,2470,9883,41,848,289,1514,315,54,430,1788,5,557,28,1626,82,101,652,46787,44706,2012,23340,25852,8,31,796,38,7
164,3067,2115,2600,78,540,319,1334,227,227,1754,1085,42,497,93,2959,28,162,2036,32414,41330,25001,41894,5889,6,44,845,-46,8
165,2894,2280,1639,232,502,493,2687,833,242,1948,228,41,583,119,607,17,11,2826,40381,35987,807,32437,30512,2,79,714,15,6
166,4212,1398,904,273,762,40,1572,638,289,1341,1028,39,285,133,35,9,81,4879,33671,52092,22269,84192,43474,0,3,672,18,10
167,462,219,1383,113,357,488,906,179,119,1196,594,63,72,169,2679,168,170,154,24031,24970,21589,75181,1828,0,66,722,27,8
168,1589,1943,2070,350,457,420,2021,804,113,851,2706,69,432,175,200,10,40,1905,53517,21663,7253,89270,9486,6,74,409,28,4
169,640,820,7920,58,767,106,1222,294,414,1418,560,91,583,104,2294,19,8,2677,48162,10647,24997,13903,252,6,92,724,16,0
170,2849,2226,8038,207,248,95,345,280,492,130,125,34,60,144,2840,49,59,2078,57362,37758,15921,59618,940,7,62,785,-25,10
171,3832,1711,4880,194,163,290,1453,852,358,2341,164,38,456,152,2268,39,173,4836,37210,37129,14568,17146,45136,2,56,307,7,8
172,1569,2131,252,329,879,4,2559,412,158,2068,1244,3,446,95,840,102,171,3353,39344,63006,15615,96817,22921,0,15,410,-39,9
173,1066,690,2291,290,514,309,2576,778,372,1376,2377,67,303,111,1848,31,35,390,33298,68246,14298,73831,19109,8,7,628,-31,5
174,1294,2011,7081,80,745,126,739,196,301,2824,2033,74,345,64,2866,89,21,1588,27782,14197,1752,2277,10864,3,51,324,-39,10
175,7,1909,8830,344,150,110,1543,434,65,2603,2404,50,310,114,2089,151,75,253,54341,60213,27814,9147,30957,8,6,698,-29,6
176,1502,2106,8909,244,445,101,2277,377,221,1667,1882,28,123,31,866,198,78,1912,38876,37937,1693,86411,32005,1,30,409,49,7
177,3740,276,1477,61,622,425,38,628,144,531,1220,98,453,157,32,167,69,1325,57805,62009,23303,67539,635,2,69,451,14,3
178,1956,10,6299,454,830,56,430,194,43,1138,1359,1,530,35,2689,82,48,1480,27849,59422,6278,31346,2914,8,70,393,49,8
179,2589,310,8658,77,316,146,1546,428,53,2996,1602,71,379,198,48,193,145,1663,47454,63658,28172,83989,17670,8,40,611,16,6
180,1684,1524,1351,447,694,385,206,533,355,166,2384,31,310,89,2380,72,139,4699,49771,51636,22652,14551,38464,8,35,303,50,7
181,630,2528,8192,332,268,361,262,977,305,2361,2804,84,431,31,346,165,169,33,35838,60233,9504,16614,8684,5,85,799,25,8
182,3691,445,6742,74,536,492,961,252,36,1139,2775,8,553,80,1127,76,117,2894,49294,52114,3133,14658,13158,9,89,300,48,1
183,3564,326,2732,304,291,318,1882,136,273,544,2636,69,179,98,2346,67,41,3623,28631,59685,23653,99546,5530,10,68,631,-33,9
184,1356,1016,4934,352,755,450,2219,712,408,2879,656,29,285,163,932,88,61,4723,37555,35614,29117,43689,12868,7,9,549,-27,3
185,1125,1482,6543,410,49,177,2508,501,479,2877,555,92,467,59,1773,15,102,2036,52445,68783,6570,24407,16146,2,29,389,-25,2
186,2314,1075,1064,474,500,56,2764,670,49,1138,1013,25,322,64,129,92,28,1278,24043,46324,28852,84260,29816,1,84,708,0,10
187,2151,1465,7102,209,707,276,2415,668,497,2224,134,81,410,59,1064,118,151,51,33694,36919,7847,27420,46002,0,72,415,18,5
188,252,709,90,461,974,332,2174,513,336,475,460,79,81,17,1573,187,151,1967,46147,41646,28396,87011,4521,1,26,538,-10,7
189,4338,1077,2831,301,184,448,153,321,271,844,1526,55,41,121,624,107,184,3412,30368,27256,17602,81529,48202,9,90,763,-39,5
190,4691,2388,6711,429,695,435,1562,849,256,899,1666,67,18,46,1982,149,118,897,59103,40755,12318,41225,44706,8,86,502,31,10
191,4723,2691,3479,309,774,41,435,41,438,665,781,80,96,72,1034,22,89,244,47747,36547,12511,31455,11251,7,70,359,-42,10
192,3913,546,77,21,24,424,183,564,117,1206,657,55,423,40,2790,160,7,4933,36336,25766,15639,93641,47442,9,61,363,-2,10
193,2393,731,1094,26,636,292,1564,677,7,2479,835,15,73,46,1105,58,83,2004,33311,67597,19447,23817,40378,9,19,437,-38,0
194,2705,1100,8747,195,78,406,2341,912,76,1976,1677,88,351,85,509,113,58,3806,52044,28169,21821,52702,8116,2,80,783,-16,6
195,2065,384,8580,332,292,174,1467,150,385,857,717,92,455,16,1955,9,139,589,31107,36380,8990,50344,22931,2,19,718,-18,8
196,3224,100,5022,254,650,488,702,613,124,1398,1507,63,225,132,2240,83,63,2369,24508,62235,13870,30810,49330,10,31,555,-5,7
197,1640,2635,3259,270,991,295,253,65,485,2205,1978,18,194,63,2873,200,17,3296,26198,10283,4239,21374,41478,2,72,468,-8,6
198,4057,1032,3139,9,852,137,2749,375,234,2607,279,32,279,81,2568,39,135,4033,36526,64131,29364,23361,46247,5,62,353,6,3
